Date,URL,Title,Text
"August 19, 2024",https://www.dol.gov/newsroom/releases/eta/eta20240819,"Department of Labor awards more than $6.6M to continue support  for temporary jobs, workforce training in Florida after Hurricane Idalia","WASHINGTON – The U.S. Department of Labor today announced the award of more than $6.6 million to support continued disaster-relief employment and workforce training for eligible residents in Florida as the state’s recovery after Hurricane Idalia continues. On Sept. 18, 2023, the department announced a National Dislocated Worker Grant of up to $20 million – with an initial award of $6.6 million – to the Florida Department of Commerce to provide people with temporary employment focused on debris removal, water damage cleanup and the delivery of humanitarian assistance to those affected by the storm, and for career and training services for affected workers. Funding also supports career and training services for area workers. On Aug. 30, 2023, Hurricane Idalia struck the northeastern Gulf Coast as a Category 3 storm, bringing strong winds, storm surges and massive flooding to the region. The incremental award announced today will continue to support disaster-relief jobs and employment and training services to assist people in 33 counties. The Federal Emergency Management Agency issued the emergency declaration on Aug. 28, 2023, and the major disaster declaration on Aug. 31, 2023, enabling the state to request federal assistance for recovery efforts. Administered by the department’s Employment and Training Administration , and supported by the Workforce Innovation and Opportunity Act of 2014 , National Dislocated Worker Grants provide funding assistance to temporarily expand the service capacity of dislocated worker programs at the state and local levels when large, unexpected economic events cause significant job losses."
"August 19, 2024",https://www.dol.gov/newsroom/releases/whd/whd20240819-0,US Department of Labor recovers $73K in back wages for 76 employees denied overtime by North Dakota home care provider,"Employers: Lasting Love Homecare LLC 1906 E. Broadway Ave. Bismarck, ND Action: Wage and Hour Division investigation Action: The Department of Labor has recovered $73,680 in overtime wages for 76 employees of Lasting Love Homecare LLC after an investigation by the department’s Wage and Hour Division found the Bismarck employer incorrectly claimed an exemption in North Dakota state administrative code (link is external) and violated federal overtime regulations for overtime. The home care provider also incurred recordkeeping violations. Investigators found Lasting Love Homecare paid straight time for overtime hours worked to 76 non-exempt employees. The employer wrongly understood state law related to overtime exemptions for domestic service workers and failed to recognize that, as third-party employers, they are ineligible to claim the exemption. The division determined the affected workers were owed time and one-half their hourly rate-of-pay for hours over 40 in a workweek. Quote: “Home care workers play a vital role in assisting older adults and individuals with disabilities to maintain their independence and engage with their communities. In return, their employers must pay these workers all of their hard-earned wages, including overtime when required.” said Wage and Hour District Director David Skinner in Denver. “We encourage employers to review their pay practices and to contact the Wage and Division to avoid compliance issues and their sometimes-costly consequences.” Background : In fiscal year 2023, the Wage and Hour Division recovered more than $31.8 million in back wages for workers in the healthcare industry nationwide. The Wage and Hour Division offers resources for healthcare workers on its website. Learn more about the Wage and Hour Division , a search tool to use if you think you may be owed back wages collected by the division and how to file an online complaint . For confidential compliance assistance, employees and employers can call the agency’s toll-free helpline at 866-4US-WAGE (487-9243), regardless of where they are from. Download the agency’s new Timesheet App for iOS and Android devices – also available in Spanish –to ensure hours and pay are accurate."
"August 19, 2024",https://www.dol.gov/newsroom/releases/whd/whd20240819,"Administrative Review Board affirms $45K penalty against Pike County employer who shortchanged 65 workers of minimum wage, overtime","Date of action: July 18, 2024 Type of action: Administrative Review Board decision, order Employer names: Shalimar Distributors LLC, operating as Promised Land Truck Stop TAFS Corp., operating as Whistle Stop gas station Mohammad Tahir, owner and manager Addresses: Shalimar Distributors LLC , 624 Route 390, Tafton, PA 18646 TAFS Corp. , 1405 PA 507, Greentown, PA 18426 Background: An investigation by the department’s Wage and Hour Division determined that, from 2015 to 2018, Mohammed Tahir failed to pay 65 employees at two of his businesses minimum wage and overtime as required by the Fair Labor Standards Act . Investigators found $42,265 in back wages owed to 47 Promised Land Truck Stop workers and $17,425 in back wages owed to 18 Whistle Stop employees, plus equal amounts in liquidated damages. The division also assessed $45,722 in civil money penalties against the employer for the employer’s willful violations. After the employer refused to resolve the violations, the department’s Office of the Solicitor filed a complaint in August 2018 against both companies and Tahir. In its July 2020 summary judgment, the U.S. District Court for the Middle District of Pennsylvania affirmed that the employer violated the law and owed the amounts the department sought. In February 2021, the employer appealed the civil money penalties to the Office of Administrative Law Judges, which reduced the penalty to $13,800 in its October 2022 decision and order. In March 2023, the department filed a Petition for Review of the Decision and Order with the Administrative Review Board to appeal the OALJ decision. Resolution: On July 18, 2024, the ARB issued a decision and order that reversed the OALJ decision and required the employer to pay the $45,723 civil money penalties first assessed. Quotes: “The Wage and Hour Division assessed the civil money penalties against the employer due to their willful disregard of the law, and the Administrative Review Board affirmed our original assessment,” explained Wage and Hour Division District Director Jo-Ann Gregory in Wilkes-Barre, Pennsylvania. “The outcome in this case shows that the U.S. Department of Labor will use all necessary litigation tools to hold employers accountable when they deny workers their hard-earned wages and try to avoid the costly consequences,” explained Regional Solicitor of Labor Samantha Thomas in Philadelphia."
"August 15, 2024",https://www.dol.gov/newsroom/releases/whd/whd20240815,"US Department of Labor reminds Michigan employers of responsibilities, temporary workers of rights for safe working conditions, fair wages","GRAND RAPIDS, MI – As Michigan’s harvest season swings into high gear, the U.S. Department of Labor wants to remind employers of their responsibilities and seasonal workers of their rights under federal law. Every summer and fall, Michigan’s vast fields are filled with agricultural workers hand harvesting the state’s seasonal bounty of crops. Many of those workers come to the U.S. to work for farmers under the federal H-2A temporary visa program. The H-2A program allows agricultural employers anticipating a shortage of domestic workers to bring nonimmigrant foreign workers to the U.S. to perform agricultural labor or services of a temporary or seasonal nature. Michigan is among the top 10 states with employers that regularly hire workers under this program. The state has about 870 licensed housing sites that accommodate about 23,000 temporary workers. The department’s Wage and Hour Division is conducting outreach with advocates and workers throughout the harvest season to educate them on federal laws – including the revised H-2A farmworker protection final rule , the Fair Labor Standards Act , and the Migrant and Seasonal Agricultural Worker Protection Act – that set standards for safe and clean housing, transportation and fair wages. “Our outreach is putting a spotlight on key protections for H-2A farm workers including written contracts, free and safe transportation, safe housing and promised wages,” explained Wage and Hour District Director Mary O’Rourke in Grand Rapids, Michigan. “One of the most common violations we find involves employers failing to pay the H-2A Adverse Effect Wage Rate , which is $18.50 per hour in Michigan in 2024, because they pay workers on a piece-rate basis and don’t ensure workers get paid at least the required rate for all hours worked.” Key protections for H-2A workers include: Payment for all recruitment and visa costs. Reimbursement for the trip to the job site and payment for the return trip to their home country. Free and safe housing, and a sanitary kitchen to prepare meals if meals are not provided. Free and safe daily transportation with working safety restraints. The opportunity to work at least three-fourths of the hours agreed upon in their contract. The right to file a complaint or participate in an investigation without fear of retaliation. “Employers agree to these key protections when they apply to the Department of Labor to hire temporary visa workers,” added Wage and Hour District Director Timolin Mitchell in Detroit. “Approval of their applications comes with a tacit acknowledgment that they will pay these workers a fair wage and treat them with the respect and dignity that all workers deserve. Employers with questions about wage laws should reach out to our compliance experts for assistance .” The department’s revised H-2A farmworker protection final rule , which went into effect on June 28, 2024, adds further protections for temporary migrant workers from labor exploitation and human trafficking as well as additional safety requirements. “All too often we find vulnerable workers – like those in the country for seasonal work – fear coming forward when they experience unsafe working conditions, unsanitary housing or short paychecks,” O’Rourke added. “The goal of our outreach is to make sure these workers are fully aware of the resources available to them if they have questions or concerns. These resources include nine local migrant resource councils (link is external) in Michigan, the Consulate of Mexico in Detroit and the U.S. Department of Labor .” View the department’s Agriculture Compliance Assistance Toolkit. Migrantworker.gov offers resources for workers on how to access support and information from recruitment to conditions of work and a safe return to their home country. Learn more about the Wage and Hour Division , including a search tool to use if you think you may be owed back wages collected by the division and how to file an online complaint . For confidential compliance assistance, employees and employers can call the agency’s toll-free helpline at 866-4US-WAGE (487-9243), regardless of where they are from. The department can speak with callers in more than 200 languages. Download the agency’s new Timesheet App for free on iOS and Android devices in English or Spanish to ensure hours and pay are accurate."
"August 15, 2024",https://www.dol.gov/newsroom/releases/eta/eta20240815,Unemployment Insurance Weekly Claims Report,
"August 14, 2024",https://www.dol.gov/newsroom/releases/osha/osha20240814-0,Department of Labor reaches settlement with Hattiesburg poultry facility to enhance safety measures after 16-year-old suffers fatal injuries,"HATTIESBURG, MS –The U.S. Department of Labor has reached a settlement agreement with a Hattiesburg poultry processing plant that requires the company to pay $164,814 in fines and implement enhanced safety measures to protect their employees from well-known machine hazards. The agreement follows an investigation by the department’s Occupational Safety and Health Administration into the failure by Mar-Jac Poultry to use required safety procedures that would have kept a teenaged worker from being fatally caught in a machine as they cleaned it in July 2023. In addition to abating all violations cited by OSHA , Mar-Jac Poultry MS LLC must implement the following enhancements: Add another properly trained supervisor to the sanitation shift. Provide workers exposed to lockout/tagout and machine guarding hazards with updated training. Require the plant’s manager and safety director to complete OSHA’s 30-hour general industry training and plant supervisors to complete OSHA’s 10-hour training. Institute a system for assigning, identifying and issuing locks to authorized employees performing lockout/tagout functions and update programs and training to reflect this requirement. Conduct a risk and hazard assessment to evaluate the safety exposures and hazards associated with current lockout/tagout procedures for the sanitation shift. The assessment must include a review of any incidents, including near misses, injuries and unexpected start-ups or malfunctions of machinery. Perform monthly lockout/tagout safety audits for the sanitation shift for one year and provide proof to OSHA, including what steps the employer is taking to reduce hazards in response to the audits. “Tragically, a teenage boy died needlessly before Mar-Jac Poultry took required steps to protect its workers,” said OSHA Regional Administrator Kurt Petermeyer in Atlanta. “ This settlement demands the company commit to a safer workplace environment and take tangible actions to protect their employees from well-known hazards. Enhanced supervision and increased training can go a long way toward minimizing risks faced by workers in meat processing facilities.” OSHA offers small and medium-size employers no-cost safety consultation services to assist them in developing a comprehensive safety program to prevent incidents that can cause serious and fatal injuries. Headquartered in Gainesville, Georgia, Mar-Jac Poultry has raised live birds for poultry production since 1954 at facilities in Alabama, Georgia and Mississippi for food service customers in the U.S and abroad. Visit OSHA’s website for information on developing a workplace safety and health program . Employers can also contact the agency for information about OSHA’s compliance assistance resources and for free help on complying with OSHA standards ."
"August 14, 2024",https://www.dol.gov/newsroom/releases/osha/osha20240814,US Department of Labor cites leading convenience store chain for serious violation after gunmen shoot cashier in Orlando robbery,"ORLANDO, FL – A subsidiary of one of the world’s best-known operators of convenience stores and fueling stations could have prevented a store cashier in Orlando from suffering a serious gunshot injury by following the company’s own established safety procedures, a U.S. Department of Labor investigation has found. Inspectors with the department’s Occupational Safety and Health Administration learned that two unidentified men entered the Circle K location on Silver Star Road shortly after 1 a.m. on Jan. 19, 2024, pointed firearms and screamed at the cashier to open the register. As the employee moved back from the register, one of the assailants fired a shot that struck the employee in the left shoulder. “People employed by late or all-night businesses, such as gas stations, convenience stores and drive-through fast food restaurants face a high probability of violent incidents as few witnesses, accessible cash, poorly lit stores and darkened parking areas often attract dangerous thieves,” explained OSHA Area Director Erin Sanchez in Orlando, Florida. “Gratefully, the cashier in this case survived the attack, but not all workers at Circle K and other similar businesses have been as fortunate.” OSHA cited Circle K Stores Inc. with one serious violation for failing to provide a place of employment free from recognized hazards likely to cause death or serious physical harm. The agency has proposed $16,131 in penalties , the maximum amount allowed by federal statute. The company has contested the findings before the independent Occupational Safety and Health Review Commission (link is external) . A review of OSHA investigations of Circle K locations since 2014 finds five workers suffered fatal gunshot injuries at two locations in Texas in August 2021 and December 2018, Georgia in September 2019, Florida in June 2016 and Alabama in December 2015. The majority of these incidents took place in the evening or overnight hours. Deterrents to help late-night retailers protect employees from workplace violence include interior and exterior security cameras, cash register barriers or enclosures, a drop safe or cash management device, proper lighting inside and outside the store and signage explaining the register holds $50 or less. The National Institute for Occupational Safety and Health cites robbery-related homicides and assaults as the leading cause of death for retail workers. In 2019, the rate of deadly workplace violence among convenience store workers was 14 times higher than the overall rate for private industry workers (link is external) . OSHA offers recommendations for workplace violence prevention programs in late-night retail establishments with employers’ tips to design and implement programs to prevent workplace violence. A subsidiary of Couche-Tard in Quebec, Canada - operating more than 16,700 stores in 29 countries and territories and employing more than 150,000 people - Circle K Stores Inc. is one of the largest U.S. independent convenience store operators. It is based in Tempe, Arizona. Employers can get free consultation from OSHA or get free information to assist in developing a safety and health management plan. Employers can visit OSHA’s website for information on developing a workplace safety and health program , and can also contact the agency for information about OSHA’s compliance assistance resources and for free help on complying with OSHA standards ."
"August 13, 2024",https://www.dol.gov/newsroom/releases/whd/whd20240813,Federal court orders staffing company to stop employing children  illegally after US Department of Labor investigation,"GREENVILLE, TN – The U.S. Department of Labor has obtained a consent judgment in a Tennessee federal court that requires a Kingsport staffing agency to stop employing children illegally and forbids them from future violations of federal child labor laws. The action comes after federal investigators uncovered oppressive child labor at a Morristown manufacturing facility that produces outdoor power equipment for major companies including John Deere, Toro and Yamaha. Entered on Aug. 12, 2024, in the U.S. District Court for the Eastern District of Tennessee, the court’s action comes after the department’s Wage and Hour Division discovered several children employed in dangerous jobs at a plant operated by Tuff Torq Corp . The division found that Professional Personnel Service Inc., operating as Luttrell Staffing in Kingsport, employed several children to work at Tuff Torq in violation of the child labor provisions of the Fair Labor Standards Act. “The court’s action reflects the U.S. Department of Labor’s relentless pursuit of any employer that endangers children by employing them to work in dangerous jobs,” explained Regional Solicitor Tremelle Howard in Atlanta. “Staffing agencies have a responsibility to make sure children are not being employed illegally and that their safety and well-being are never jeopardized in the pursuit of profit.” In addition to ordering Luttrell Staffing to comply with federal child labor regulations, the court ordered the employer to pay $121,572 in civil money penalties. “ When employers fail to keep children in our communities safe from workplace dangers, the U.S. Department of Labor will act swiftly to hold violators accountable for their actions,” said Wage and Hour Regional Administrator Juan Coria in Atlanta. “This case affirms our commitment to hold all employers, including staffing agencies, accountable when they violate federal child labor laws.” In addition to paying civil penalties, Luttrell Staffing was ordered to take the following actions: Provide the Wage and Hour Division with a list of all children employed, including specifying the age, current and anticipated hours of work, job duties assigned and types of machines the child operates. Hire a third-party compliance specialist for a period of three years to monitor compliance with the FLSA’s child labor provisions. Submit a report to the division within 180 days, outlining steps taken to comply with FLSA child labor requirements and then provide annual reports with updates. Use the division’s Youth Employment Compliance Assistance Toolkit to identify materials for use in training managers and employees, provided in a language understood by all individuals. Coordinate with the compliance specialist for three years to provide child labor compliance training to all management personnel twice a year and to provide training as part of the company’s orientation process for all new managers. Establish a toll-free number that allows employees to report violations anonymously. Add child labor provisions in the template for contracts with all clients. Contracts must also include the compliance specialist’s name and contact information to allow clients to contact them directly with questions or concerns regarding child labor violations. Luttrell Staffing provides employers with workers at 40 locations in California, Georgia, Illinois, Kentucky, Tennessee, Vermont and Virginia. The company’s employees work in light industrial, warehouse, general and skilled labor, construction, and office and clerical jobs. Luttrell has corporate headquarters in Kingsport, Tennessee, and in Bowling Green, Kentucky. In fiscal year 2023, the department investigated 955 cases with child labor violations involving 5,792 children nationwide – an 88 percent increase since 2019 – including 502 children employed in violation of hazardous occupation standards. The department addressed those violations by assessing employers more than $8 million in civil money penalties. The division offers confidential compliance assistance to anyone – regardless of where they are from – with questions about their wages or how to stay in compliance with the law by calling the agency’s toll-free helpline at 866-4US-WAGE (487-9243). The department can speak with callers in more than 200 languages. Learn more about the Wage and Hour Division , including child labor regulations on dangerous jobs that are prohibited for workers under age 18."
"August 12, 2024",https://www.dol.gov/newsroom/releases/osha/osha20240812,"Metro-Chicago contractor again found ignoring federal safety regulations, exposing employees to deadly fall hazards at Frankfort worksite","PALOS PARK, IL – A federal workplace safety investigation has found that a metro-Chicago carpentry contractor with a long history of exposing employees to potentially deadly hazards again ignored regulations to protect workers from falls. For the seventh time since 2013, the U.S. Department of Labor’s Occupational Safety and Health Administration cited Dromin Development LLC for not providing required safety equipment and training to employees building a new home in Frankfort. The company currently owes more than $114,000 in unpaid penalties for similar willful and serious violations. The March 2024 inspection in Frankfort determined Dromin allowed employees to work at heights greater than six feet without fall protection and failed to provide training in fall protection and proper forklift operation. OSHA also noted workers failed to wear hard hats and used ladders improperly. OSHA cited the Palos Park construction contractor for two repeat violations and one willful, one serious and one other-than-serious violation. The agency has proposed $268,309 in penalties. “Each year, hundreds of workers die in preventable falls. Making sure workers wear fall protection each time they work at heights six feet or greater can be the difference between life or death,” said OSHA’s Chicago South Area Director James Martineck in Tinley Park, Illinois. “OSHA continues to work with the construction industry to address this deadly hazard and will continue to hold all employers accountable when they fail to provide safe working conditions.” The Bureau of Labor Statistics reports that 1,056 construction workers died on the job in 2022, with 423 of those fatalities related to falls from elevation, slips or trips. The company has 15 business days from receipt of its citations and penalties to comply, request an informal conference with OSHA’s area director, or contest the findings before the independent Occupational Safety and Health Review Commission (link is external) . Visit OSHA’s website for information on developing a workplace safety and health program . Employers can also contact the agency for information about OSHA’s compliance assistance resources and for free help on complying with OSHA standards . Under the Occupational Safety and Health Act of 1970, employers are responsible for providing safe and healthful workplaces for their employees. OSHA’s role is to ensure these conditions for America’s working men and women by setting and enforcing standards, and providing training, education and assistance. For more information, visit OSHA’s website to learn more ."
